source_string,target_string,license,latin,arabic
Delaware,ⵜⴰⴷⵉⵍⴰⵡⴰⵔⵉⵜ,GPL-3.0-or-later,tadilawarit,تاديلاواريت
Slave (Athapascan),ⵜⴰⵙⵍⴰⴼⵉⵜ (ⴰⵜⴰⴱⴰⵙⴽⴰⵏ),GPL-3.0-or-later,taslafit (atabaskan),تاسلافيت (اتاباسكان)
Dogrib,ⵜⴰⴷⵓⴳⵔⵉⵜ,GPL-3.0-or-later,tadugrit,تادوڭريت
Dinka,ⵜⴰⴷⵉⵏⴽⵉⵜ,GPL-3.0-or-later,tadinkit,تادينكيت
Dogri,ⵜⴰⴷⵓⴳⵔⵉⵜ,GPL-3.0-or-later,tadugrit,تادوڭريت
Darai,ⵜⴰⴷⴰⵔⴰⵢⵜ,GPL-3.0-or-later,tadarayt,تادارايت
Lower Sorbian,ⵜⴰⵚⵓⵕⴱⵉⵜ ⵜⴰⵏⴰⴷⴷⴰⵡⵜ,GPL-3.0-or-later,taṣuṛbit tanaddawt,تاصوربيت تانادداوت
Duala,ⵜⴰⴷⵡⴰⵍⵉⵜ,GPL-3.0-or-later,tadwalit,تادواليت
Dutch (Middle),ⵜⴰⵀⵓⵍⴰⵏⴷⵉⵜ (ⵜⴰⵏⴰⵎⵎⴰⵙⵜ),GPL-3.0-or-later,tahulandit (tanammast),تاهولانديت (تانامماست)
Dhivehi,ⵜⴰⴷⵀⵉⴼⵉⵀⵉⵜ,GPL-3.0-or-later,tadhifihit,تادهيفيهيت
Dyula,ⵜⴰⴷⵢⵓⵍⵉⵜ,GPL-3.0-or-later,tadyulit,تاديوليت
Dzongkha,ⵜⴰⴷⵣⵓⵏⴳⵉⵜ,GPL-3.0-or-later,tadzungit,تادزونڭيت
Ewe,ⵜⵉⵡⵉⵜ,GPL-3.0-or-later,tiwit,تيويت
Efik,ⵜⵉⴼⵉⴽⵉⵜ,GPL-3.0-or-later,tifikit,تيفيكيت
Emilian,ⵜⴰⵕⵓⵎⵉⵜ,GPL-3.0-or-later,taṛumit,تاروميت
Egyptian (Ancient),ⵜⴰⵎⵉⵚⵕⵉⵜ (ⵜⴰⵣⴰⵢⴽⵓⵜ),GPL-3.0-or-later,tamiṣṛit (tazaykut),تاميصريت (تازايكوت)
Ekajuk,ⵜⵉⴽⴰⵊⵓⴽⵜ,GPL-3.0-or-later,tikajukt,تيكاجوكت
Greek,ⵜⴰⴳⵔⵉⴳⵉⵜ,GPL-3.0-or-later,tagrigit,تاڭريڭيت
Elamite,ⵜⵉⵍⴰⵎⵉⵜⵉⵜ,GPL-3.0-or-later,tilamitit,تيلاميتيت
English,ⵜⴰⵏⴳⵍⵉⵣⵜ,GPL-3.0-or-later,tanglizt,تانڭليزت
English (Pirate),ⵜⵉⵏⴳⵍⵉⵣⵉⵜ (ⵉⵎⵔⵉⵜⵍⵏ),GPL-3.0-or-later,tinglizit (imritln),تينڭليزيت (يمريتلن)
English (Australia),ⵜⵉⵏⴳⵍⵉⵣⵉⵜ (ⵓⵙⵜⵔⴰⵍⵢⴰ),GPL-3.0-or-later,tinglizit (ustralya),تينڭليزيت (وستراليا)
English (Canada),ⵜⵉⵏⴳⵍⵉⵣⵉⵜ (ⴽⴰⵏⴰⴹⴰ),GPL-3.0-or-later,tinglizit (kanaḍa),تينڭليزيت (كاناضا)
English (United Kingdom),ⵜⵉⵏⴳⵍⵉⵣⵉⵜ (ⵜⴰⴳⵍⴷⵉⵜ ⵉⵎⵓⵏⵏ),GPL-3.0-or-later,tinglizit (tagldit imunn),تينڭليزيت (تاڭلديت يمونن)
English (Ireland),ⵜⵉⵏⴳⵍⵉⵣⵉⵜ (ⵉⵔⵍⴰⵏⴷⴰ),GPL-3.0-or-later,tinglizit (irlanda),تينڭليزيت (يرلاندا)
English (India),ⵜⵉⵏⴳⵍⵉⵣⵉⵜ (ⵍⵀⵉⵏⴷ),GPL-3.0-or-later,tinglizit (lhind),تينڭليزيت (لهيند)
English (New Zealand),ⵜⵉⵏⴳⵍⵉⵣⵉⵜ (ⵏⵢⵓⵣⵉⵍⴰⵏⴷⴰ),GPL-3.0-or-later,tinglizit (nyuzilanda),تينڭليزيت (نيوزيلاندا)
English (Philippines),ⵜⵉⵏⴳⵍⵉⵣⵉⵜ (ⴼⵉⵍⵉⴱⵉⵏ),GPL-3.0-or-later,tinglizit (filibin),تينڭليزيت (فيليبين)
English (Shavian),ⵜⵉⵏⴳⵍⵉⵣⵉⵜ (ⵛⴰⴼⵢⴰⵏ),GPL-3.0-or-later,tinglizit (shafyan),تينڭليزيت (شافيان)
"English (Shavian, United Kingdom)",ⵜⵉⵏⴳⵍⵉⵣⵉⵜ (ⵜⴰⴳⵍⴷⵉⵜ ⵉⵎⵓⵏⵏ),GPL-3.0-or-later,tinglizit (tagldit imunn),تينڭليزيت (تاڭلديت يمونن)
"English (Shavian, United States)",ⵜⵉⵏⴳⵍⵉⵣⵉⵜ (ⵎⵉⵔⵉⴽⴰⵏ),GPL-3.0-or-later,tinglizit (mirikan),تينڭليزيت (ميريكان)
English (United States),ⵜⵉⵏⴳⵍⵉⵣⵉⵜ (ⵎⵉⵔⵉⴽⴰⵏ),GPL-3.0-or-later,tinglizit (mirikan),تينڭليزيت (ميريكان)
English (XA pseudolocale),ⵜⵉⵏⴳⵍⵉⵣⵉⵜ (XA pseudolocale),GPL-3.0-or-later,tinglizit (XA pseudolocale),تينڭليزيت (XA pseudolocale)
English (South Africa),ⵜⵉⵏⴳⵍⵉⵣⵉⵜ (ⴰⴼⵔⵉⵇⵢⴰ ⵏ ⵢⵉⴼⴼⵓⵙ),GPL-3.0-or-later,tinglizit (afriqya n yiffus),تينڭليزيت (افريقيا ن ييففوس)
English (Developer),ⵜⵉⵏⴳⵍⵉⵣⵉⵜ (ⴰⵎⵙⵖⵉⵡⵙ),GPL-3.0-or-later,tinglizit (amsghiws),تينڭليزيت (امسغيوس)
English (Middle),ⵜⵉⵏⴳⵍⵉⵣⵉⵜ (ⵜⴰⵏⴰⵎⵎⴰⵙⵜ),GPL-3.0-or-later,tinglizit (tanammast),تينڭليزيت (تانامماست)
Esperanto,ⵜⴰⵙⴱⵉⵔⴰⵏⵜⵉⵜ,GPL-3.0-or-later,tasbirantit,تاسبيرانتيت
Spanish,ⵜⴰⵙⴱⵏⵢⵓⵍⵉⵜ,GPL-3.0-or-later,tasbnyulit,تاسبنيوليت
Spanish (formal),ⵜⴰⵚⴱⵏⵢⵓⵍⵉⵜ (ⵜⴰⵎⴰⴷⴷⵓⴷⵜ),GPL-3.0-or-later,taṣbnyulit (tamaddudt),تاصبنيوليت (تاماددودت)
Spanish (informal),ⵜⴰⵚⴱⵍⵓⵏⵉⵜ (ⵜⴰⵔⵎⴰⴷⴷⵓⴷⵜ),GPL-3.0-or-later,taṣblunit (tarmaddudt),تاصبلونيت (تارماددودت)
Spanish (Latin America),ⵜⴰⵚⴱⵍⵢⵓⵏⵉⵜ (ⵜⴰⵎⵉⵔⵉⴽⵉⵜ ⵜⴰⵍⴰⵜⵉⵏⵉⵜ),GPL-3.0-or-later,taṣblyunit (tamirikit talatinit),تاصبليونيت (تاميريكيت تالاتينيت)
Spanish (Argentina),ⵜⴰⵚⴱⵍⵢⵓⵏⵉⵜ (ⴰⵕⵊⵓⵏⵜⵉⵏ),GPL-3.0-or-later,taṣblyunit (aṛjuntin),تاصبليونيت (ارجونتين)
Spanish (Bolivia),ⵜⴰⵚⴱⵍⵢⵓⵏⵉⵜ (ⴱⵓⵍⵉⴼⵢⴰ),GPL-3.0-or-later,taṣblyunit (bulifya),تاصبليونيت (بوليفيا)
Spanish (Chile),ⵜⴰⵚⴱⵍⵢⵓⵏⵉⵜ (ⵛⵉⵍⵉ),GPL-3.0-or-later,taṣblyunit (shili),تاصبليونيت (شيلي)
Spanish (Colombia),ⵜⴰⵚⴱⵍⵢⵓⵏⵉⵜ (ⴽⵓⵍⵓⵎⴱⵢⴰ),GPL-3.0-or-later,taṣblyunit (kulumbya),تاصبليونيت (كولومبيا)
Spanish (Costa Rica),ⵜⴰⵚⴱⵍⵢⵓⵏⵉⵜ (ⴽⵓⵙⵜⴰ ⵔⵉⴽⴰ),GPL-3.0-or-later,taṣblyunit (kusta rika),تاصبليونيت (كوستا ريكا)
Spanish (Dominican Republic),ⵜⴰⵚⴱⵍⵢⵓⵏⵉⵜ (ⵜⴰⴳⴷⵓⴷⴰⵏⵜ ⵏ ⴷⴷⵓⵎⵉⵏⵉⴽⴰⵏ),GPL-3.0-or-later,taṣblyunit (tagdudant n dduminikan),تاصبليونيت (تاڭدودانت ن ددومينيكان)
Spanish (Ecuador),ⵜⴰⵚⴱⵍⵢⵓⵏⵉⵜ (ⵉⴽⵡⴰⴷⵓⵔ),GPL-3.0-or-later,taṣblyunit (ikwadur),تاصبليونيت (يكوادور)
Spanish (Mexico),ⵜⴰⵚⴱⵍⵢⵓⵏⵉⵜ (ⵎⵉⴽⵙⵉⴽ),GPL-3.0-or-later,taṣblyunit (miksik),تاصبليونيت (ميكسيك)
Spanish (Nicaragua),ⵜⴰⵚⴱⵍⵢⵓⵏⵉⵜ (ⵏⵉⴽⴰⵔⴰⴳⵡⴰ),GPL-3.0-or-later,taṣblyunit (nikaragwa),تاصبليونيت (نيكاراڭوا)
Spanish (Panama),ⵜⴰⵚⴱⵍⵢⵓⵏⵉⵜ (ⴱⴰⵏⴰⵎⴰ),GPL-3.0-or-later,taṣblyunit (banama),تاصبليونيت (باناما)
Spanish (Peru),ⵜⴰⵚⴱⵍⵢⵓⵏⵉⵜ (ⴱⵉⵔⵓ),GPL-3.0-or-later,taṣblyunit (biru),تاصبليونيت (بيرو)
Spanish (Puerto Rico),ⵜⴰⵚⴱⵍⵢⵓⵏⵉⵜ (ⴱⵉⵔⵜⵓ ⵔⵉⴽⵓ),GPL-3.0-or-later,taṣblyunit (birtu riku),تاصبليونيت (بيرتو ريكو)
Spanish (El Salvador),ⵜⴰⵚⴱⵍⵢⵓⵏⵉⵜ (ⵙⴰⵍⴼⴰⴷⵓⵔ),GPL-3.0-or-later,taṣblyunit (salfadur),تاصبليونيت (سالفادور)
Spanish (American),ⵜⴰⵚⴱⵍⵢⵓⵏⵉⵜ (ⵎⵉⵔⵉⴽⴰⵏ),GPL-3.0-or-later,taṣblyunit (mirikan),تاصبليونيت (ميريكان)
Spanish (Uruguay),ⵜⴰⵚⴱⵍⵢⵓⵏⵉⵜ (ⵓⵔⵓⴳⵡⴰⵢ),GPL-3.0-or-later,taṣblyunit (urugway),تاصبليونيت (وروڭواي)
Spanish (Venezuela),ⵜⴰⵚⴱⵍⵢⵓⵏⵉⵜ (ⴼⵉⵏⵣⵡⵉⵍⵍⴰ),GPL-3.0-or-later,taṣblyunit (finzwilla),تاصبليونيت (فينزويللا)
Estonian,ⵜⵉⵙⵜⵓⵏⵉⵜ,GPL-3.0-or-later,tistunit,تيستونيت
Basque,ⵜⴰⴱⴰⵚⴽⵉⵜ,GPL-3.0-or-later,tabaṣkit,تاباصكيت
Ewondo,ⵜⵉⵡⵓⵏⴷⵓⵜ,GPL-3.0-or-later,tiwundut,تيووندوت
Extremaduran,ⵜⵉⴽⵙⵜⵔⵉⵎⴰⴷⵓⵔⵉⵜ,GPL-3.0-or-later,tikstrimadurit,تيكستريمادوريت
Persian,ⵜⴰⴼⵓⵔⵙⵉⵜ,GPL-3.0-or-later,tafursit,تافورسيت
Dari,ⵜⴰⴼⵓⵔⵙⵉⵜ (ⴰⴼⵖⴰⵏⵉⵙⵜⴰⵏ),GPL-3.0-or-later,tafursit (afghanistan),تافورسيت (افغانيستان)
Fang (Equatorial Guinea),ⵜⴰⴼⴰⵏⴳⵉⵜ (ⵖⵉⵏⵢⴰ ⵜⴰⴽⵡⴰⵜⵓⵔⵜ),GPL-3.0-or-later,tafangit (ghinya takwaturt),تافانڭيت (غينيا تاكواتورت)
Fanti,ⵜⴰⴼⵓⵏⵜⵉⵜ,GPL-3.0-or-later,tafuntit,تافونتيت
Fulah,ⵜⴰⴼⵓⵍⵉⵜ,GPL-3.0-or-later,tafulit,تافوليت
Finnish,ⵜⴰⴼⵉⵏⵉⵜ,GPL-3.0-or-later,tafinit,تافينيت
Filipino,ⵜⴰⴼⵉⵍⵉⴱⵉⵏⵉⵜ,GPL-3.0-or-later,tafilibinit,تافيليبينيت
Fijian,ⵜⴰⴼⵉⵊⵉⵜ,GPL-3.0-or-later,tafijit,تافيجيت
Faroese,ⵜⴰⴼⴰⵔⵡⵉⵜ,GPL-3.0-or-later,tafarwit,تافارويت
Fon,ⵜⴰⴼⵓⵏⵉⵜ,GPL-3.0-or-later,tafunit,تافونيت
French,ⵜⴰⴼⵔⴰⵏⵙⵉⵙⵜ,GPL-3.0-or-later,tafransist,تافرانسيست
French (formal),ⵜⴰⴼⵕⴰⵚⵉⵚⵜ (ⵜⴰⵎⴰⴷⴷⵓⴷⵜ),GPL-3.0-or-later,tafṛaṣiṣt (tamaddudt),تافراصيصت (تاماددودت)
French (informal),ⵜⴰⴼⵕⴰⵚⵉⵚⵜ (ⵜⴰⵔⵎⴰⴷⴷⵓⴷⵜ),GPL-3.0-or-later,tafṛaṣiṣt (tarmaddudt),تافراصيصت (تارماددودت)
French (Antigua and Barbuda),ⵜⴰⴼⵕⴰⵚⵉⵚⵜ (ⴰⵏⵜⵉⴳⴰ ⴷ ⴱⴰⵔⴱⵓⴷⴰ),GPL-3.0-or-later,tafṛaṣiṣt (antiga d barbuda),تافراصيصت (انتيڭا د باربودا)
French (Belgium),ⵜⴰⴼⵕⴰⵚⵉⵚⵜ (ⴱⵍⵊⵉⴽⴰ),GPL-3.0-or-later,tafṛaṣiṣt (bljika),تافراصيصت (بلجيكا)
French (Canada),ⵜⴰⴼⵕⴰⵚⵉⵚⵜ (ⴽⴰⵏⴰⴹⴰ),GPL-3.0-or-later,tafṛaṣiṣt (kanaḍa),تافراصيصت (كاناضا)
French (Switzerland),ⵜⴰⴼⵕⴰⵚⵉⵚⵜ (ⵙⵡⵉⵙⵔⴰ),GPL-3.0-or-later,tafṛaṣiṣt (swisra),تافراصيصت (سويسرا)
French (Luxembourg),ⵜⴰⴼⵕⴰⵏⵚⵉⵚⵜ (ⵍⵉⴽⵙⵓⵎⴱⵓⵔⴳ),GPL-3.0-or-later,tafṛanṣiṣt (liksumburg),تافرانصيصت (ليكسومبورڭ)
French (Senegal),ⵜⴰⴼⵕⴰⵏⵚⵉⵚⵜ (ⵙⵉⵏⵉⴳⴰⵍ),GPL-3.0-or-later,tafṛanṣiṣt (sinigal),تافرانصيصت (سينيڭال)
French (Louisiana),ⵜⴰⴼⵕⴰⵏⵚⵉⵚⵜ (ⵍⵡⵉⵣⵢⴰⵏⴰ),GPL-3.0-or-later,tafṛanṣiṣt (lwizyana),تافرانصيصت (لويزيانا)
Frankish,ⵜⴰⵜⵓⵔⴽⵉⵜ,GPL-3.0-or-later,taturkit,تاتوركيت
French (Middle),ⵜⴰⴼⵕⴰⵏⵚⵉⵚⵜ (ⵜⴰⵏⴰⵎⵎⴰⵙⵜ),GPL-3.0-or-later,tafṛanṣiṣt (tanammast),تافرانصيصت (تانامماست)
French (Old),ⵜⴰⴼⵕⴰⵏⵚⵉⵚⵜ (ⵜⴰⵣⴰⵢⴽⵓⵜ),GPL-3.0-or-later,tafṛanṣiṣt (tazaykut),تافرانصيصت (تازايكوت)
Franco-Provençal,ⵜⴰⴱⵔⵓⴼⵉⵏⵙⴰⵍⵉⵜ ⵜⴰⴼⵕⴰⵏⵚⵉⵚⵜ,GPL-3.0-or-later,tabrufinsalit tafṛanṣiṣt,تابروفينساليت تافرانصيصت
Frisian (Northern),ⵜⴰⴼⵔⵉⵙⵉⵜ (ⵉⵥⵥⵍⵎⴹ),GPL-3.0-or-later,tafrisit (iẓẓlmḍ),تافريسيت (يزّزّلمض)
Frisian (Eastern),ⵜⴰⴼⵔⵉⵙⵉⵜ (ⴰⵙⵏⵇⵔ),GPL-3.0-or-later,tafrisit (asnqr),تافريسيت (اسنقر)
Friulian,ⵜⴰⴼⵔⵢⵓⵍⵉⵜ,GPL-3.0-or-later,tafryulit,تافريوليت
Frisian,ⵜⴰⴼⵔⵉⵙⵉⵜ,GPL-3.0-or-later,tafrisit,تافريسيت
Irish,ⵜⵉⵔⵍⴰⵏⴷⵉⵜ,GPL-3.0-or-later,tirlandit,تيرلانديت
Ga,ⵜⴰⴳⵉⵜ,GPL-3.0-or-later,tagit,تاڭيت
Gayo,ⵜⴰⴳⴰⵢⵓⵜ,GPL-3.0-or-later,tagayut,تاڭايوت
Gbaya (Central African Republic),ⵜⴰⴳⴱⴰⵢⵉⵜ (ⵜⴰⴳⴷⵓⴷⴰⵏⵜ ⵏ ⵡⴰⴼⵔⵉⵇⵢⴰ ⴰⵏⴰⵎⵎⴰⵙ),GPL-3.0-or-later,tagbayit (tagdudant n wafriqya anammas),تاڭباييت (تاڭدودانت ن وافريقيا انامماس)
Garhwali,ⵜⴰⴳⴰⵔⵡⴰⵍⵉⵜ,GPL-3.0-or-later,tagarwalit,تاڭارواليت
Gaelic,ⵜⴰⴳⴰⵢⵍⵉⵜ,GPL-3.0-or-later,tagaylit,تاڭايليت
Ge'ez,ⵜⴰⴳⵄⵣⵉⵜ,GPL-3.0-or-later,tag3zit,تاڭعزيت
Gilbertese,ⵜⴰⴳⵉⵍⴱⵉⵔⵜⵉⵜ,GPL-3.0-or-later,tagilbirtit,تاڭيلبيرتيت
Galician,ⵜⴰⴳⴰⵍⵉⵙⵉⵜ,GPL-3.0-or-later,tagalisit,تاڭاليسيت
Gilaki,ⵜⴰⴳⵉⵍⴰⴽⵉⵜ,GPL-3.0-or-later,tagilakit,تاڭيلاكيت
High German (Middle),ⵜⴰⵍⵎⴰⵏⵉⵜ ⵜⴰⵎⴰⵜⵜⴰⵢⵜ (ⵜⴰⵏⴰⵎⵎⴰⵙⵜ),GPL-3.0-or-later,talmanit tamattayt (tanammast),تالمانيت تاماتتايت (تانامماست)
Guarani,ⵜⴰⴳⵡⴰⵔⴰⵏⵉⵜ,GPL-3.0-or-later,tagwaranit,تاڭوارانيت
High German (Old),ⵜⴰⵍⵎⴰⵏⵉⵜ ⵜⴰⵎⴰⵜⵜⴰⵢⵜ (ⵜⴰⵣⴰⵢⴽⵓⵜ),GPL-3.0-or-later,talmanit tamattayt (tazaykut),تالمانيت تاماتتايت (تازايكوت)
Gondi,ⵜⴰⴳⵓⵏⴷⵉⵜ,GPL-3.0-or-later,tagundit,تاڭونديت
Gorontalo,ⵜⴰⴳⵓⵔⵓⵏⵜⴰⵍⵓⵜ,GPL-3.0-or-later,taguruntalut,تاڭورونتالوت
Gothic,ⵜⴰⴳⵓⵜⵉⴽⵜ,GPL-3.0-or-later,tagutikt,تاڭوتيكت
Grebo,ⵜⴰⵢⵓⵏⴰⵏⵉⵜ,GPL-3.0-or-later,tayunanit,تايونانيت
Greek (Ancient),ⵜⴰⴳⵔⵉⴽⵉⵜ (ⵜⴰⵣⴰⵢⴽⵓⵜ),GPL-3.0-or-later,tagrikit (tazaykut),تاڭريكيت (تازايكوت)
Alemannic,ⵜⴰⵍⵎⴰⵏⵉⴽⵜ,GPL-3.0-or-later,talmanikt,تالمانيكت
Gujarati,ⵜⴰⴳⵓⵊⴰⵔⴰⵜⵉⵜ,GPL-3.0-or-later,tagujaratit,تاڭوجاراتيت
Gujarati (India),ⵜⴰⴳⵓⵊⴰⵔⴰⵜⵉⵜ (ⵍⵀⵉⵏⴷ),GPL-3.0-or-later,tagujaratit (lhind),تاڭوجاراتيت (لهيند)
Wayuu,ⵜⴰⵡⴰⵢⵓⵜ,GPL-3.0-or-later,tawayut,تاوايوت
Guaraní (Paraguayan),ⵜⴰⴳⵡⴰⵔⴰⵏⵉⵜ (ⴱⴰⵔⴰⴳⵡⴰⵢ),GPL-3.0-or-later,tagwaranit (baragway),تاڭوارانيت (باراڭواي)
Guambiano,ⵜⴰⴳⵡⴰⵎⴱⵢⴰⵏⵓⵜ,GPL-3.0-or-later,tagwambyanut,تاڭوامبيانوت
Guaraní (Mbyá),ⵜⴰⴳⵡⴰⵔⴰⵏⵉⵜ (ⵎⴱⵢⴰ),GPL-3.0-or-later,tagwaranit (mbya),تاڭوارانيت (مبيا)
Gun,ⵜⴰⴳⵓⵏⵉⵜ,GPL-3.0-or-later,tagunit,تاڭونيت
Manx,ⵜⴰⵎⴰⵏⴽⵙⵉⵜ,GPL-3.0-or-later,tamanksit,تامانكسيت
Gwichʼin,ⵜⴰⴳⵡⵉⵛⵉⵏⵜ,GPL-3.0-or-later,tagwishint,تاڭويشينت
Hausa,ⵜⴰⵀⴰⵡⵙⴰⵜ,GPL-3.0-or-later,tahawsat,تاهاوسات
Haida,ⵜⴰⵀⵉⴷⵉⵜ,GPL-3.0-or-later,tahidit,تاهيديت
Hawaiian,ⵜⴰⵀⴰⵡⴰⵢⵜ,GPL-3.0-or-later,tahawayt,تاهاوايت
Hebrew,ⵜⴰⵄⵉⴱⵔⵉⵜ,GPL-3.0-or-later,ta3ibrit,تاعيبريت
Hebrew (Israel),ⵜⴰⵄⵉⴱⵔⵉⵜ (ⵉⵙⵔⴰⵢⵍ),GPL-3.0-or-later,ta3ibrit (israyl),تاعيبريت (يسرايل)
Hindi,ⵜⴰⵀⵉⵏⴷⵉⵜ,GPL-3.0-or-later,tahindit,تاهينديت
Hindi (Hinglish),ⵜⴰⵀⵉⵏⴷⵉⵜ (ⵜⴰⵍⴰⵜⵉⵏⵉⵜ),GPL-3.0-or-later,tahindit (talatinit),تاهينديت (تالاتينيت)
Hindi (latin),ⵜⴰⵀⵉⵏⴷⵉⵜ (ⵜⴰⵍⴰⵜⵉⵏⵉⵜ),GPL-3.0-or-later,tahindit (talatinit),تاهينديت (تالاتينيت)
Hiligaynon,ⵜⴰⵀⵉⵍⵉⴳⴰⵢⵏⵓⵏⵜ,GPL-3.0-or-later,tahiligaynunt,تاهيليڭاينونت
Hittite,ⵜⴰⵃⵉⵜⵜⵉⵜ,GPL-3.0-or-later,taḥittit,تاحيتتيت
Hmong,ⵜⴰⵀⵎⵓⵏⴳⵉⵜ,GPL-3.0-or-later,tahmungit,تاهمونڭيت
Chhattisgarhi,ⵜⴰⵛⵀⴰⵜⵉⵙⴳⴰⵔⵉⵜ,GPL-3.0-or-later,tashhatisgarit,تاشهاتيسڭاريت
Hiri Motu,ⵜⴰⵀⵉⵔⵉⵎⵓⵜⵉⵜ,GPL-3.0-or-later,tahirimutit,تاهيريموتيت
Croatian,ⵜⴰⴽⵔⵡⴰⵜⵉⵜ,GPL-3.0-or-later,takrwatit,تاكرواتيت
Hunsrik,ⵜⴰⵀⵓⵏⵙⵔⵉⴽⵜ,GPL-3.0-or-later,tahunsrikt,تاهونسريكت
Upper Sorbian,ⵜⴰⵚⵉⵕⴱⵉⵜ ⵜⴰⵏⴰⴼⵍⵍⴰⵜ,GPL-3.0-or-later,taṣiṛbit tanafllat,تاصيربيت تانافللات
Haitian,ⵜⴰⵀⴰⵢⵜⵉⵜ,GPL-3.0-or-later,tahaytit,تاهايتيت
Hungarian,ⵜⴰⵀⵏⵖⴰⵔⵉⵜ,GPL-3.0-or-later,tahngharit,تاهنغاريت
Hupa,ⵜⴰⵀⵓⴱⵉⵜ,GPL-3.0-or-later,tahubit,تاهوبيت
Huastec,ⵜⴰⵀⵡⴰⵙⵜⵉⵜ,GPL-3.0-or-later,tahwastit,تاهواستيت
Armenian,ⵜⴰⵔⵎⵉⵏⵉⵜ,GPL-3.0-or-later,tarminit,تارمينيت
Herero,ⵜⴰⵀⵉⵔⵉⵔⵓⵜ,GPL-3.0-or-later,tahirirut,تاهيريروت
Interlingua,ⵜⴰⵏⵜⵉⵔⵍⵉⵏⴳⵡⴰⵜ,GPL-3.0-or-later,tantirlingwat,تانتيرلينڭوات
Iban,ⵜⵉⴱⴰⵏⵉⵜ,GPL-3.0-or-later,tibanit,تيبانيت
Indonesian,ⵜⴰⵏⴷⵓⵏⵉⵙⵉⵜ,GPL-3.0-or-later,tandunisit,تاندونيسيت
Occidental,ⵏ ⵜⴰⴳⵓⵜ,GPL-3.0-or-later,n tagut,ن تاڭوت
Igbo,ⵜⵉⴳⴱⵓⵜ,GPL-3.0-or-later,tigbut,تيڭبوت
Nuosu,ⵜⴰⵏⵡⵓⵙⵉⵜ,GPL-3.0-or-later,tanwusit,تانووسيت
Inupiaq,ⵜⴰⵏⵓⴱⵢⴰⴽⵜ,GPL-3.0-or-later,tanubyakt,تانوبياكت
Iloko,ⵜⵉⵍⵓⴽⵓⵜ,GPL-3.0-or-later,tilukut,تيلوكوت
Ingush,ⵜⵉⵏⴳⵓⵛⵉⵜ,GPL-3.0-or-later,tingushit,تينڭوشيت
Ido,ⵜⵉⴷⵓⵜ,GPL-3.0-or-later,tidut,تيدوت
Icelandic,ⵜⵉⵙⵍⴰⵏⴷⵉⵜ,GPL-3.0-or-later,tislandit,تيسلانديت
Italian,ⵜⴰⵟⴰⵍⵢⴰⵏⵜ,GPL-3.0-or-later,taṭalyant,تاطاليانت
Italian (formal),ⵜⴰⵟⴰⵍⵢⴰⵏⵉⵜ (ⵜⴰⵎⴰⴷⴷⵓⴷⵜ),GPL-3.0-or-later,taṭalyanit (tamaddudt),تاطاليانيت (تاماددودت)
Italian (informal),ⵜⴰⵟⴰⵍⵢⴰⵏⵉⵜ (ⵜⴰⵔⵎⴰⴷⴷⵓⴷⵜ),GPL-3.0-or-later,taṭalyanit (tarmaddudt),تاطاليانيت (تارماددودت)
Italian (Switzerland),ⵜⴰⵟⴰⵍⵢⴰⵏⵉⵜ (ⵙⵡⵉⵙⵔⴰ),GPL-3.0-or-later,taṭalyanit (swisra),تاطاليانيت (سويسرا)
Inuktitut,ⵜⵉⵏⵓⴽⵉⵜⵓⵜ,GPL-3.0-or-later,tinukitut,تينوكيتوت
Japanese,ⵜⴰⵊⴰⴱⴱⵓⵏⵉⵜ,GPL-3.0-or-later,tajabbunit,تاجاببونيت
Japanese (Kansai),ⵜⴰⵊⴰⴱⵓⵏⵉⵜ (ⴽⴰⵏⵙⴰⵢ),GPL-3.0-or-later,tajabunit (kansay),تاجابونيت (كانساي)
Jamaican Patois,ⵉⵍⵙ ⵏ ⵊⴰⵎⴰⵢⴽⴰ,GPL-3.0-or-later,ils n jamayka,يلس ن جامايكا
Lojban,ⵜⴰⵍⵓⵊⴱⴰⵏⵉⵜ,GPL-3.0-or-later,talujbanit,تالوجبانيت
Ngomba,ⵜⴰⵏⴳⵓⵎⴱⵉⵜ,GPL-3.0-or-later,tangumbit,تانڭومبيت
Machame,ⵜⴰⵎⴰⵛⴰⵎⵉⵜ,GPL-3.0-or-later,tamashamit,تاماشاميت
Judeo-Persian,ⵜⵓⴷⴰⵢⵜ ⵜⴰⴼⴰⵔⵉⵙⵜ,GPL-3.0-or-later,tudayt tafarist,تودايت تافاريست
Judeo-Arabic,ⵜⵓⴷⴰⵢⵜ ⵜⴰⵄⵕⴰⴱⵜ,GPL-3.0-or-later,tudayt ta3ṛabt,تودايت تاعرابت
Javanese,ⵜⴰⵊⴰⴱⴰⵏⵉⵜ,GPL-3.0-or-later,tajabanit,تاجابانيت
Georgian,ⵜⴰⵊⵢⵓⵔⵊⵉⵜ,GPL-3.0-or-later,tajyurjit,تاجيورجيت
Karakalpak,ⵜⴰⴽⴰⵔⴰⴽⴰⵍⴱⴰⴽⵜ,GPL-3.0-or-later,takarakalbakt,تاكاراكالباكت
Kabyle,ⵜⴰⵇⴱⴰⵢⵍⵉⵜ,GPL-3.0-or-later,taqbaylit,تاقبايليت
Kachin,ⵜⴰⴽⴰⵛⵉⵏⵜ,GPL-3.0-or-later,takashint,تاكاشينت
