Tamazight,francais,target_string,Tamazight_Latin,Tamazight_Arabic,English
ⵙⴽⵔ ⵖⵉⴽⵍⵍⵉ ⵉⵔⴰ ⴱⴰⴱⴰⴽ,Fais ce que veut ton père,افعل ما يريده أبوك,skr ghiklli ira babak,سكر غيكللي يرا باباك,Translation Error
ⵢⵓⵔⵉ ⵜⴰⴱⵔⴰⵜ ⵙ ⵓⴼⵓⵙ,il a écrit la lettre à la main,كتب الرسالة بيده,yuri tabrat s ufus,يوري تابرات س وفوس,He wrote the letter with his own hand.
ⵉⴷⴷⴰ ⵙ ⵜⴰⴷⴷⴰⵔⵜ,il est allé à la maison,ذهب إلى البيت,idda s taddart,يددا س تاددارت,He went to the house.
ⵡⵉⵙ ⵙⴰ,septième,سابع,wis sa,ويس سا,Seventh
ⵙⴽⵔ ⵙ,Considérer,اعتبر,skr s,سكر س,Consider.
ⵡⵉⵙ ⵙⵉⵏ,deuxième,ثان,wis sin,ويس سين,"""Second"""
ⵙⵎⴷ ⵙ,se terminer par,انتهى ب,smd s,سمد س,"""It ended with"""
ⵡⵉⵙ ⵙⵎⵎⵓⵙ,cinquième,خامس,wis smmus,ويس سمموس,Fifth
ⴰⵔ ⵙⵓⵍ ⵢⴰⵇⵇⵔⴰ,il étudie encore,ما زال يدرس,ar sul yaqqra,ار سول ياققرا,He is still studying.
ⵓⵔ ⵙⵓⵍ ⵉⵙⵖⵉ ⵜⵉⴳⵎⵎⵉ,"finalement, il n’a pas acheté la maison",في الأخير، لم يشتر المنزل,ur sul isghi tigmmi,ور سول يسغي تيڭممي,"In the end, he did not buy the house."
ⵢⵓⴼⴰ ⵙⵓⵍ ⴰⵢⵍⵍⵉ ⵉⵙⵉⴳⴳⵉⵍ,il a finalement trouvé ce qu'il cherchait,وجد أخيرا ما يبحث عنه,yufa sul aylli isiggil,يوفا سول ايللي يسيڭڭيل,He finally found what he was looking for.
ⵓⵔ ⵉⵜⵜⵓⵙⵔⴰⴳ,non autorisé,غير مرخص,ur ittusrag,ور يتتوسراڭ,Unlicensed
ⵙⵙⵉⴷⴼ ⴷ,importer,استورَد,ssidf d,سسيدف د,Imported
ⵙⵙⵉⵡⵍ ⵅⴼ,commenter,علَّق (- على)، وضح، شرَح، فسر,ssiwl khf,سسيول خف,"Comment (- on), clarify, explain, interpret."
ⵙⵙⵓⴼⵖ (-ⴳ),tirer sur,أطلق الرصاص,ssufgh (-g),سسوفغ (-ڭ),He fired the shot.
ⵙⵙⵓⴼⵖ (-ⴷ),Réaliser,أخرج,ssufgh (-d),سسوفغ (-د),Go out.
ⵙⵙⵓⴼⵖ (-ⵙⴳ),Dériver (tr.),اشتق,ssufgh (-sg),سسوفغ (-سڭ),"""I miss"" or ""I long for"" (depending on the context)."
ⵡⵉⵙ ⵚⴹⵉⵚ,sixième,سادس,wis ṣḍiṣ,ويس صضيص,Sixth
ⵚⵚⴱⵉⵟⴰⵕ ⵏ ⵜⴰⵔⵡⴰ,maternité,دار التوليد,ṣṣbiṭaṛ n tarwa,صصبيطار ن تاروا,Maternity ward
ⴼⴼⵖⵏⵜ ⵚⵚⵎⴰⵢⵎ,La période chaude est terminée.,"انتهى موسم ""الصمايم"".",ffghnt ṣṣmaym,ففغنت صصمايم,"The season of ""Al-Samaim"" has ended."
ⴽⵛⵎⵏⵜ ⵚⵚⵎⴰⵢⵎ,La période chaude a commencé.,"بدأ موسم ""الصمايم"".",kshmnt ṣṣmaym,كشمنت صصمايم,"The ""Samaim"" season has begun."
ⵓⴷⴼⵏⵜ ⵚⵚⵎⴰⵢⵎ,La période chaude a commencé.,"بدأ موسم ""الصمايم"".",udfnt ṣṣmaym,ودفنت صصمايم,"The ""Samaim"" season has begun."
ⵛⵡⴰⵢ ⵛⵡⴰⵢ,"doucement, lentement",برفق، بتأن,shway shway,شواي شواي,"Gently, with deliberation."
ⵜⴰⴱⴱⴰⵢⵜ  ⵜⴰⵟⵓⴱⵓⵖⵔⴰⴼⵉⵜ,coupe topographique,مقطع طبوغرافي,tabbayt  taṭubughrafit,تاببايت  تاطوبوغرافيت,Topographic section
ⵜⴰⴱⴱⴰⵢⵜ ⵜⴰⵊⵢⵓⵍⵓⵊⵉⵜ,coupe géologique,مقطع جيولوجي,tabbayt tajyulujit,تاببايت تاجيولوجيت,Geological section
ⵜⴰⴱⵉⴷⴰⴳⵓⵊⵉⵜ ⵏ ⵓⵙⵉⴷⴼ,pédagogie de l’intégration,بيداغوجيا الإدماج,tabidagujit n usidf,تابيداڭوجيت ن وسيدف,The pedagogy of integration
ⵜⴰⴱⵉⴷⴰⴳⵓⵊⵉⵜ ⵏ ⵜⵣⴳⵍⵜ,pédagogie de l’erreur,بيداغوجيا الخطأ,tabidagujit n tzglt,تابيداڭوجيت ن تزڭلت,The pedagogy of error
ⵜⴰⴱⵉⴷⴰⴳⵓⵊⵉⵜ ⵜⴰⵏⴱⴹⴰⵢⵜ,pédagogie différenciée,البيداغوجيا الفارقية,tabidagujit tanbḍayt,تابيداڭوجيت تانبضايت,Differentiated pedagogy
ⵜⴰⴱⵏⵉⵇⵜ ⵏ ⵉⵎⴰⵙⵙⵏ,console,قمطر,tabniqt n imassn,تابنيقت ن يماسسن,"The word ""قمطر"" (qamṭar) in Arabic can mean ""to frown"" or ""to scowl,"" depending on the context. If you provide a full sentence, I can give a more precise translation!"
ⵜⴰⴱⵓⵄⵊⵉⵊⵜ ⵏ ⵓⴹⴰⵕ,mollet,ربلة الساق,tabu3jijt n uḍaṛ,تابوعجيجت ن وضار,Calf (the lower back part of the leg).
ⵜⴰⴱⵓⵄⵊⵉⵊⵜ ⵏ ⵓⴼⵓⵙ,biceps,عضلة العضد,tabu3jijt n ufus,تابوعجيجت ن وفوس,The biceps muscle
ⵜⴰⴱⵔⴰⵜ ⵉⵜⵜⵓⵣⵎⵎⴰⵎⵏ,lettre recommandée,رسالة مسجلة,tabrat ittuzmmamn,تابرات يتتوزممامن,A recorded message
ⵜⴰⴱⵔⴰⵜ ⵜⴰⵏⵖⵎⴰⵙⵜ,lettre d'information,رسالة إخبارية,tabrat tanghmast,تابرات تانغماست,Newsletter
ⵜⴰⴳⴰⵎⵉⵜ ⵜⴰⵔⵉⵙⴰⵏⵜ,impuissance sexuelle,عجز جنسي,tagamit tarisant,تاڭاميت تاريسانت,Sexual impotence
ⵜⴰⴳⴳⴰⵍⵉⵏ ⵏ ⵜⵓⴳⴳⵓⵥⵜ ⵏ ⵓⵏⵎⴰⵍⴰ,forces de maintien de l'ordre,قوات حفظ النظام,taggalin n tugguẓt n unmala,تاڭڭالين ن توڭڭوزّت ن ونمالا,Law enforcement forces or Security forces.
ⵜⴰⴳⴳⴰⵍⵉⵏ ⵏ ⵜⵡⵉⵙⵉ,forces auxiliaires,قوات مساعدة,taggalin n twisi,تاڭڭالين ن تويسي,Auxiliary forces
ⵜⴰⴳⴳⴰⵍⵉⵏ ⵜⵉⵍⴰⴼⵉⵏ,forces armées,قوات مسلحة,taggalin tilafin,تاڭڭالين تيلافين,Armed forces
ⵜⴰⴳⴳⴰⵣⵜ ⵏ ⵜⵖⵓⵔⵉ,bourse d'études,منحة دراسية,taggazt n tghuri,تاڭڭازت ن تغوري,Scholarship
ⴰⵎⵓⴷⵔⵓⵙ ⵏ ⵜⴰⴳⴳⴰⵥⵜ,immunodéprimé,مَنْقوصُ المَناعَة,amudrus n taggaẓt,امودروس ن تاڭڭازّت,Immunocompromised
ⵜⴰⴳⴳⴰⵥⵜ ⵜⴰⴱⵕⵍⴰⵎⴰⵏⵉⵜ,immunité parlementaire,حصانة برلمانية,taggaẓt tabṛlamanit,تاڭڭازّت تابرلامانيت,Parliamentary immunity
ⵜⴰⴳⴳⴰⵥⵜ ⵜⴰⴷⵉⴱⵍⵓⵎⴰⵙⵉⵜ,immunité diplomatique,حصانة دبلوماسية,taggaẓt tadiblumasit,تاڭڭازّت تاديبلوماسيت,Diplomatic immunity
ⵜⴰⴳⴳⴰⵥⵜ ⵜⴰⵎⴳⵔⵓⵜ,immunité collective,مَناعَةُ جماعيّة,taggaẓt tamgrut,تاڭڭازّت تامڭروت,Herd immunity
ⵜⴰⴳⴳⵓⵜ ⵜⴰⵎⵓⵙⵎⵜ,brouillard de mousson,ضباب موسمي,taggut tamusmt,تاڭڭوت تاموسمت,Seasonal fog
ⵜⴰⴳⴳⵓⵜ ⵜⴰⵎⵙⵏⴰⴳⴰⵔⵜ,brouillard fréquent,ضباب متردد,taggut tamsnagart,تاڭڭوت تامسناڭارت,Hesitant fog
ⵜⴰⴳⴳⵓⵜ ⵜⴰⵛⵜⴰⵜⴰⵍⵜ,brouillard au sol,ضباب أرضي,taggut tashtatalt,تاڭڭوت تاشتاتالت,Ground fog
ⵜⴰⴳⴳⵓⵜ ⵜⵓⴳⵔⵉⵙⵜ,brouillard glacé,ضباب جليدي,taggut tugrist,تاڭڭوت توڭريست,Icy fog
ⴳ ⵏⵏ ⵜⵓⴳⴳⴰⵙ,faire des efforts,بذل مجهودا,g nn tuggas,ڭ نن توڭڭاس,Made an effort.
ⵜⴰⴳⵍⴷⴰ ⵜⴰⴷⵙⵜⴰⵔⵜ,monarchie constitutionnelle,مَلكية دستورية,taglda tadstart,تاڭلدا تادستارت,Constitutional monarchy
ⴰⴳⴳⵉⵡⵙ ⵏ ⵜⴳⵍⵉⵙⵉⵎⵜ,contrôle de la glycémie,مراقبة السكر,aggiws n tglisimt,اڭڭيوس ن تڭليسيمت,Monitoring sugar
ⴰⵍⴰⵢ ⵏ ⵜⴳⵍⵉⵙⵉⵎⵜ,hyperglycémie,زيادة سكرية الدم,alay n tglisimt,الاي ن تڭليسيمت,Increased blood sugar.
ⵓⴳⵓⵣ ⵏ ⵜⴳⵍⵉⵙⵉⵎⵜ,hypoglycémie,نقص سكرية الدم,uguz n tglisimt,وڭوز ن تڭليسيمت,Hypoglycemia (low blood sugar).
ⵉⵍⵓⵃ ⵙ ⵜⴳⵎⵎⵓⵜ,"bourgeonner, s'épanouir",بَرعم,iluḥ s tgmmut,يلوح س تڭمموت,Bud
ⵜⴰⴳⵎⵔⵜ ⵜⴰⵢⵍⴰⵏⵜ,pêche maritime,صيد بحري,tagmrt taylant,تاڭمرت تايلانت,Fishing or Marine fishing
ⵙ ⵜⴳⵏⵙⴻⵙⵜ,par délégation,بالتفويض,s tgnsest,س تڭنس°ست,By delegation.
ⵜⴰⴳⵓⵎⵜ ⵜⴰⵏⵉⵎⴰⵏⵜ,autosuffisance,اكتفاء ذاتي,tagumt tanimant,تاڭومت تانيمانت,Self-sufficiency
ⴰⵙⵏⵓⵍⴼⵓ ⵏ ⵜⴳⵓⵔⵉⵡⵉⵏ,néologie (création de mots),استحداث المفردات,asnulfu n tguriwin,اسنولفو ن تڭوريوين,The creation of vocabulary.
ⵜⴰⴳⵓⵔⵉ ⵜⴰⵏⵎⴰⵡⴰⵍⵜ,lexème,ليكسيم، وحدة معجمية,taguri tanmawalt,تاڭوري تانماوالت,"Lexeme, a lexical unit."
ⵜⴰⴳⵓⵔⵉ ⵜⴰⵏⵓⵍⴼⵓⵜ,néologisme,كلمة مستحدثة,taguri tanulfut,تاڭوري تانولفوت,A newly coined word.
ⵜⴰⴳⵔⴰ ⵏ ⵢⵉⵅⴼ,crâne,جمجمة,tagra n yikhf,تاڭرا ن ييخف,Skull
ⵜⴰⴳⵔⴰⵔⵜ ⵜⴰⵏⵎⵍⴰⵏⵜ,groupe scolaire,مجموعة مدرسية,tagrart tanmlant,تاڭرارت تانملانت,A school group
ⴰⵏⵙⵙⵉⵅⴼ ⵏ ⵜⴳⵔⴰⵡⵜ,maire,عمدة (رئيس البلدية),anssikhf n tgrawt,انسسيخف ن تڭراوت,Mayor
ⵜⴰⴳⵔⴰⵡⵜ ⵜⴰⴷⵖⵔⴰⵏⵜ,collectivité locale,جماعة محلية,tagrawt tadghrant,تاڭراوت تادغرانت,Local group
ⵜⴰⴳⵔⴰⵡⵜ ⵜⴰⵖⵔⵎⴰⵏⵜ,commune urbaine,جماعة حضرية,tagrawt taghrmant,تاڭراوت تاغرمانت,Urban community
ⵜⵉⴳⵣⵉⵜ ⵏ ⵜⴳⵔⵏⵉⵏⴰ,vertèbre cervicale,فقرة رقبية,tigzit n tgrnina,تيڭزيت ن تڭرنينا,A regulatory paragraph
ⵜⴰⴳⵔⵓⵎⵎⴰ ⵜⴰⵏⵖⵎⴰⵙⵜ,groupe média,مجموعة إعلامية,tagrumma tanghmast,تاڭرومما تانغماست,Media group
ⵜⴰⴳⵔⵓⵎⵎⴰ ⵜⴰⵙⵍⵉⵥⵉⵕⵜ,groupe audiovisuel,مجموعة سمعية بصرية,tagrumma tasliẓiṛt,تاڭرومما تاسليزّيرت,Audiovisual group
ⵜⵓⵖⵉ ⵜⵜ ⵜⴳⵕⵥⴰⵡⵜ,il regrette,ندِمَ,tughi tt tgṛẓawt,توغي تت تڭرزّاوت,He regretted.
ⴰⴹⴰⵕ ⵏ ⵜⴽⵙⴰⵔⵜ,pied de la pente,قدم المنحدر,aḍaṛ n tksart,اضار ن تكسارت,The slope descended.
ⵜⴰⴳⵙⴰⵔⵜ ⵜⴰⵍⴳⴷⵉⵙⵜ,pente transversale,انحدار عرضي,tagsart talgdist,تاڭسارت تالڭديست,Lateral slope
ⵙ ⵜⴳⵣⴰⵎⵜ,"En détail (vente), En détail",بالتقسيط,s tgzamt,س تڭزامت,In installments
ⵜⴰⴳⵣⵣⵓⵎⵜ ⵏ ⵓⵙⵓⵙⵙⵏ,spot publicitaire,وصلة إشهارية,tagzzumt n usussn,تاڭززومت ن وسوسسن,Promotional link
ⵜⴰⴳⵣⵣⵓⵎⵜ ⵜⴰⵏⵖⵎⴰⵙⵜ,coupure de presse,قصاصة صحفية,tagzzumt tanghmast,تاڭززومت تانغماست,A newspaper clipping
ⵙ ⵜⴳⵯⵔⵊⵜ,forfaitaire,جزافي,s tgⵯrjt,س تڭⵯرجت,"""Arbitrary"" or ""random"" (depending on the context). Could you provide more context for a more accurate translation?"
ⵜⴰⴷⴰⴱⵓⵜ ⵏ ⵉⵎⵔⴷⴰⵢⵏ,banc des accusés,قفص الاتهام,tadabut n imrdayn,تادابوت ن يمرداين,The dock (in a courtroom) or the defendant's cage.
ⵜⴰⴷⴰⵍⴰ ⵉⵖⵎⵙⵏ,salle couverte,قاعة مغطاة,tadala ighmsn,تادالا يغمسن,A covered hall.
ⵜⴰⴷⴰⵍⴰ ⵉⵜⵜⵓⵎⴰⵡⴰⵏ,salle équipée,قاعة مجهزة,tadala ittumawan,تادالا يتتوماوان,A well-equipped hall
ⵜⴰⴷⴰⵍⴰ ⵏ ⵓⴳⴰⵏⵉ,salle d'attente,قاعة الانتظار,tadala n ugani,تادالا ن وڭاني,The waiting hall.
ⵜⴰⴷⴰⵍⴰ ⵏ ⵓⴼⵍⴰⵢ,bloc opératoire,قاعة الجراحة,tadala n uflay,تادالا ن وفلاي,The surgery room.
ⵜⴰⴷⴰⵍⴰ ⵏ ⵓⵙⴰⵙⴼⵔ,salle de soins,قاعة العلاج,tadala n usasfr,تادالا ن وساسفر,Therapy hall.
ⵜⴰⴷⴰⵍⴰ ⵏ ⵜⵉⵏⴰⵡⵜ,salle de conférence,قاعة المحاضرات,tadala n tinawt,تادالا ن تيناوت,Lecture hall
ⵜⴰⴷⴰⵍⴰ ⵏ ⵜⵎⵙⵍⵉ,auditorium,مدرَّج,tadala n tmsli,تادالا ن تمسلي,Terraced or amphitheater (depending on the context). Could you provide more context for a precise translation?
ⵜⴰⴷⴰⵍⴰ ⵏ ⵜⵙⵎⵓⵏⵉ,salle de réunion,قاعة الاجتماعات,tadala n tsmuni,تادالا ن تسموني,The meeting room.
ⵜⴰⵏⴽⵔⴰ ⵙ ⵜⴷⴰⵎⵙⴰ,relance économique,إنعاش الاقتصاد,tankra s tdamsa,تانكرا س تدامسا,Reviving the economy
ⵜⴰⵣⵍⴰⴼⵜ ⵏ ⵜⴷⴰⵡⵜ,vertèbre lombaire,فقرة أسفل الظهر,tazlaft n tdawt,تازلافت ن تداوت,Lower back paragraph
ⵜⵉⴼⵔⵖⵉ ⵏ ⵢⵉⵥⴹⵉ ⵏ ⵜⴰⴷⴰⵡⵜ,scoliose,جنَف (انحراف العمود الفقري جانبيا),tifrghi n yiẓḍi n tadawt,تيفرغي ن ييزّضي ن تاداوت,Scoliosis (lateral curvature of the spine)
ⵜⴰⴷⴳⴳⴰⵔⵜ ⵉⵜⵜⵢⴰⵎⴰⵥⵏ,gage,رهن حيازي,tadggart ittyamaẓn,تادڭڭارت يتتيامازّن,"""Possessory mortgage"" or ""Pledge."" 

This refers to a type of mortgage or security interest where the possession of the property or asset is transferred to the lender or creditor as collateral until the debt is repaid. Let me know if you need further clarification!"
ⵜⴰⴷⴷⴰⵔⵜ ⵏ ⵉⵎⵉⵏⴹ,maison de l'artisan,دار الصانع,taddart n iminḍ,تاددارت ن يمينض,The Artisan's House
ⴱⴰⴱ ⵏ ⵜⴰⴷⴷⴰⵔⵜ,chef de famille,رب الأسرة,bab n taddart,باب ن تاددارت,The head of the family.
ⵜⴰⴷⴷⴰⵔⵜ ⵏ ⵉⴳⵓⵊⵉⵍⵏ,Orphelinat,مَيْتم,taddart n igujiln,تاددارت ن يڭوجيلن,Orphanage
ⴰⵍⵓⴳ ⵏ ⵜⴷⵓⵙⵉ,carnet de santé,دفتر صحي,alug n tdusi,الوڭ ن تدوسي,Health notebook
ⴰⵎⵕⵕⴰⴹ ⵏ ⵓⵏⴳⵔⴰⵡ ⵏ ⵜⴷⵓⵙⵉ,saturation du système de santé,انهيار النظام الصحي,amṛṛaḍ n ungraw n tdusi,امرراض ن ونڭراو ن تدوسي,The collapse of the healthcare system.
ⴰⵏⴳⵔⴰⵡ ⵏ ⵜⴷⵓⵙⵉ,système de santé,نظام صحي,angraw n tdusi,انڭراو ن تدوسي,Healthcare system
ⴰⵏⴳⵔⴰⵡ ⵏ ⵜⴷⵓⵙⵉ ⵉⴽⵙⵙⵉⵙⵏ,système de santé vulnérable,نظام صحي هش,angraw n tdusi ikssisn,انڭراو ن تدوسي يكسسيسن,A fragile healthcare system
ⵜⴰⴷⵓⵙⵉ ⵜⴰⴳⴷⵓⴷⴰⵏⵜ,santé publique,الصحة العامة,tadusi tagdudant,تادوسي تاڭدودانت,Public health
ⵜⴰⴷⵓⵙⵉ ⵜⴰⵎⴰⵔⵔⴰⵡⵜ,Santé reproductive,الصحة الإنجابية,tadusi tamarrawt,تادوسي تامارراوت,Reproductive health
ⵜⴰⴷⵓⵙⵉ ⵜⴰⵡⵙⵢⴰⵏⵜ,Santé sexuelle,الصحة الجنسية,tadusi tawsyant,تادوسي تاوسيانت,Sexual health
ⵜⴰⴷⵔⴼⵉ ⵏ ⵓⵡⵏⵏⵉ,liberté d’expression,حرية التعبير,tadrfi n uwnni,تادرفي ن وونني,Freedom of expression
ⵜⴰⴷⵔⴼⵉ ⵏ ⵜⵏⵖⵎⴰⵙⵜ,liberté de presse,حرية الصحافة,tadrfi n tnghmast,تادرفي ن تنغماست,Freedom of the press
ⵙ ⵜⴷⵔⵙⵉ,Au moins,على الأقل,s tdrsi,س تدرسي,At least
ⵓⴷⵓⵣ ⵏ ⵜⴹⴰⵕⵓⵜ,pression atmosphérique,ضغط جوي,uduz n tḍaṛut,ودوز ن تضاروت,Air pressure
ⵜⴰⵍⵖⵉⵡⵉⵏ ⵏ ⵜⴼⴰⴷⴰ,expression de la condition,تعبير الشرط,talghiwin n tfada,تالغيوين ن تفادا,Conditional expression
ⵜⴰⴼⴰⴼⵜ ⵓⵔ ⵉⵅⵛⵉⵏⵏ,tumeur bénigne,ورم حميد,tafaft ur ikhshinn,تافافت ور يخشينن,Benign tumor
ⵜⴰⴼⴰⴼⵜ ⵜⴰⵄⴼⴼⴰⵏⵜ,tumeur maligne,ورم خبيث,tafaft ta3ffant,تافافت تاعففانت,Malignant tumor
ⵜⴰⴼⴰⴼⵜ ⵜⴰⵅⵛⵛⴰⵏⵜ,tumeur maligne,ورم خبيث,tafaft takhshshant,تافافت تاخششانت,Malignant tumor
ⵜⴰⴼⴷⵏⵜ ⵜⴰⵎⵇⵔⴰⵏⵜ,gros orteil,إبهام القدم,tafdnt tamqrant,تافدنت تامقرانت,The big toe.
ⵙ ⵜⴼⵉⵍⴰⵡⵜ,Idéalisé,مثالي,s tfilawt,س تفيلاوت,Ideal
ⵜⴰⴼⵉⵍⵜ ⵜⴰⵜⵉⴽⵜⵓⵏⵜ,plaque tectonique,صفيحة تكتونية,tafilt tatiktunt,تافيلت تاتيكتونت,Tectonic plate
ⴳⴰⵔ ⵜⴰⴼⵍⵙⵜ,mauvaise foi,نية سيئة,gar taflst,ڭار تافلست,Bad intention
ⵜⴰⴼⵏⵉⵇⵜ ⵏ ⵓⵙⵓⴷⵙ,fond de soutien,صندوق الدعم,tafniqt n usuds,تافنيقت ن وسودس,Support fund
ⵜⴰⴼⵏⵉⵇⵜ ⵏ ⵜⵙⵓⵎⴰⵔ,Boîte à idées,صندوق المقترحات,tafniqt n tsumar,تافنيقت ن تسومار,Suggestion box
ⵜⴰⴼⵏⵉⵇⵜ ⵏ ⵡⴰⵔⵔⴰⵣ,caisse de compensation,صندوق المقاصة,tafniqt n warraz,تافنيقت ن وارراز,The Clearing Fund
ⵜⴰⴼⵏⵉⵇⵜ ⵜⴰⴳⴷⵓⴷⴰⵏⵜ,deniers publics,مال عام,tafniqt tagdudant,تافنيقت تاڭدودانت,Public property
ⵜⴰⴼⵏⵉⵇⵜ ⵜⴰⵙⴰⵡⴰⵢⵜ,boîte postale,صندوق البريد,tafniqt tasawayt,تافنيقت تاساوايت,Mailbox
ⴰⵙⴳⵯⴷⵎ ⵏ ⵜⴰⴼⵓⴽⵜ,solstice,انقلاب شمسي,asgⵯdm n tafukt,اسڭⵯدم ن تافوكت,Solstice
ⵜⴳⵔ ⵜⴰⴼⵓⴽⵜ ⴳ ...,Le soleil donne dans …,ألقت الشمس بأشعتها على ...,tgr tafukt g ...,تڭر تافوكت ڭ ...,The sun cast its rays on ...
ⵜⴹⵕ ⵏⵏ ⵜⴰⴼⵓⴽⵜ,Le soleil s'est couché.,غربت الشمس.,tḍṛ nn tafukt,تضر نن تافوكت,The sun set.
ⵜⵉⵢⵜⵉ ⵏ ⵜⴰⴼⵓⴽⵜ,insolation,رعن، ضربة شمس,tiyti n tafukt,تييتي ن تافوكت,"""Foolishness, sunstroke."""
ⵜⵔⵓⵃ ⵏⵏ ⵜⴰⴼⵓⴽⵜ,Le soleil s'est couché.,غربت الشمس.,truḥ nn tafukt,تروح نن تافوكت,The sun set.
ⵜⴰⴼⵔⵉⵙⵜ ⵜⴰⴽⵎⴰⵎⵜ,portrait physique,صورة مادية,tafrist takmamt,تافريست تاكمامت,A physical image
ⵜⴰⴼⵔⵉⵙⵜ ⵜⴰⵡⵏⴳⵉⵎⵜ,portrait moral,صورة معنوية,tafrist tawngimt,تافريست تاونڭيمت,A figurative image
ⵜⴰⴼⵙⵏⴰ ⵏ ⵜⵔⵖⵉ,degré de température,درجة الحرارة,tafsna n trghi,تافسنا ن ترغي,Temperature
ⵜⴰⴼⵙⵏⴰ ⵏ ⵜⵎⵙⵙⵉ,degré de température,درجة الحرارة,tafsna n tmssi,تافسنا ن تمسسي,Temperature
ⵜⴰⴼⵙⵏⴰ ⵏ ⵜⵉⴽⵏⵉ,degré d'inclinaison,درجة الميل,tafsna n tikni,تافسنا ن تيكني,The slope.
ⵜⴰⴽⴰⵕⴹⴰ ⵏ ⵉⵎⵙⵍⵉ,carte audio,بطاقة سمعية,takaṛḍa n imsli,تاكارضا ن يمسلي,Hearing card
ⵜⴰⴽⴰⵕⴹⴰ ⵏ ⵓⵣⴷⴷⵓⵖ,carte de séjour,بطاقة إقامة,takaṛḍa n uzddugh,تاكارضا ن وزددوغ,Residence card
ⵜⴰⴽⴰⵕⴹⴰ ⵏ ⵜⵎⴰⴳⵉⵜ,carte d'identité,بطاقة الهوية,takaṛḍa n tmagit,تاكارضا ن تماڭيت,Identity card
ⵜⴰⴽⴰⵕⴹⴰ ⵏ ⵜⵡⵓⵔⵉ,carte de travail,بطاقة العمل، بطاقة الشغل,takaṛḍa n twuri,تاكارضا ن تووري,"Work card, job card."
ⵜⴰⴽⴰⵕⴹⴰ ⵜⴰⵟⵓⴱⵓⴳⵔⴰⴼⵜ,carte topographique,خريطة طبوغرافية,takaṛḍa taṭubugraft,تاكارضا تاطوبوڭرافت,Topographic map
ⵜⴰⴽⴰⵢⵉⵏ ⵙ ⵙⵎⵎⵓⵙⵜ,les cinq sens,الحواس الخمس,takayin s smmust,تاكايين س سمموست,The five senses
ⵜⴰⵎⵏⴰⴹⵜ ⵏ ⵜⴰⴽⴰⵢⵜ,aire sensitive,ساحة حسية,tamnaḍt n takayt,تامناضت ن تاكايت,Sensory plaza
ⵓⴱⵓⵢ ⵏ ⵜⴽⴹⵓⵜ,anosmie,فقدان حاسَّةِ الشَّمّ,ubuy n tkḍut,وبوي ن تكضوت,Loss of the sense of smell.
ⵜⴰⴽⵎⴰⵎⵜ ⵜⴰⵏⴼⵍⴰⵢⵜ,masque chirurgical,قناع جراحي,takmamt tanflayt,تاكمامت تانفلايت,Surgical mask
ⵇⵇⵏ ⵜⴰⴽⵏⴱⵓⵛⵜ,nouer un foulard sur la tête,ربط وشاح الرأس,qqn taknbusht,ققن تاكنبوشت,Tying the headscarf
ⵜⴰⴽⵏⵓⵏⵏⴰⵢⵜ ⵜⴰⵣⴳⴳⵯⴰⵖⵜ,globule rouge,كرية حمراء,taknunnayt tazggⵯaght,تاكنوننايت تازڭڭⵯاغت,Red blood cell
ⵜⴰⴽⵏⵓⵏⵏⴰⵢⵜ ⵜⵓⵎⵍⵉⵍⵜ,globule blanc (leucocytes),كرية بيضاء,taknunnayt tumlilt,تاكنوننايت تومليلت,White blood cell
ⵓⵜ ⵜⴰⴽⵔⵔⴰⵢⵜ,se donner de la peine,بذل مجهودا كبيرا، عانى,ut takrrayt,وت تاكررايت,He made great efforts and suffered.
ⵜⴰⴽⵙⵓⵎⵜ ⵜⴰⴷⵉⵍⵜⴰⵜ,deltoïde,عضلة دالِتيّة,taksumt tadiltat,تاكسومت تاديلتات,Deltoid muscle
ⵜⴰⴽⵙⵓⵎⵜ ⵜⴰⵎⵅⴰⵙⵜ,muscle volontaire,عضلة إرادية,taksumt tamkhast,تاكسومت تامخاست,Voluntary muscle
ⵜⴰⴽⵙⵓⵎⵜ ⵜⴰⵏⴹⴼⵚⵜ,muscle fléchisseur,عضلة قابضة,taksumt tanḍfṣt,تاكسومت تانضفصت,A sphincter muscle
ⵜⴰⴽⵙⵓⵎⵜ ⵜⴰⵏⴼⵙⴰⵔⵜ,muscle extenseur,العضلة الباسطة,taksumt tanfsart,تاكسومت تانفسارت,The extensor muscle
ⵜⴰⴽⵙⵓⵎⵜ ⵜⴰⵔⴰⵎⵅⴰⵙⵜ,muscle involontaire,عضلة لا إرادية,taksumt taramkhast,تاكسومت تارامخاست,Involuntary muscle
ⵜⴰⴽⵙⵙⴰ ⵜⴰⴽⵙⵡⴰⵜ,soins intensifs,عناية مركزة,takssa takswat,تاكسسا تاكسوات,Intensive care
ⴰⵎⵎⴰⵥ ⵏ ⵜⴽⵜⵓⵜⵉⵏ,prise de rendez-vous,أخْد المواعيد,ammaẓ n tktutin,اممازّ ن تكتوتين,"""Taking appointments"""
ⵡⵡⵜ ⵜⴰⴽⵜⵓⵜ,fixer un rendez-vous,ضرب موعدا,wwt taktut,ووت تاكتوت,He set a date.
ⴱⵓ ⵜⵃⴰⵏⵓⵜ,épicier,بقال,bu tḥanut,بو تحانوت,Grocer
